role,skills
Data Scientist,"Python, SQL, Statistics, Machine Learning, Pandas, NumPy, Data Visualization"
Machine Learning Engineer,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Docker, MLOps"
Backend Developer,"Python, Java, SQL, REST APIs, Docker, Git, Databases"
DevOps Engineer,"Cloud, Docker, Kubernetes, CI/CD, Linux, Terraform, Git"
Cloud Engineer,"Cloud, AWS, Azure, Linux, Terraform, Networking, Docker"
Data Engineer,"Python, SQL, ETL, Spark, Airflow, Cloud, Databases"
Frontend Developer,"JavaScript, TypeScript, React, HTML, CSS, Git"
Cybersecurity Analyst,"Linux, Networking, Security, Python, SIEM, Cloud, Incident Response"
Systems Administrator,"Linux, Networking, Cloud, Bash, Windows Server, Security, Automation"
QA Automation Engineer,"Python, Selenium, Testing, CI/CD, Git, REST APIs, Docker"
